/Users/tobiasm1/git/verified-certified-robustness/scripts/cav2025-artifact-venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
test data loaded: 10000 instances
mnist_tobler_s80 eps=0.3: acc=0.9837 vra=0.9519 rob=0.9556
mnist_tobler_s80 eps=0.35: acc=0.9837 vra=0.9437 rob=0.9468
mnist_tobler_s80 eps=0.4: acc=0.9837 vra=0.9335 rob=0.9355
mnist_tobler_s80 eps=0.45: acc=0.9837 vra=0.9207 rob=0.9221
mnist_tobler_s80 eps=0.475: acc=0.9837 vra=0.9129 rob=0.9140
mnist_tobler_s80 eps=0.5: acc=0.9837 vra=0.9060 rob=0.9071
mnist_tobler_s80 eps=0.525: acc=0.9837 vra=0.8978 rob=0.8988
mnist_tobler_s80 eps=0.55: acc=0.9837 vra=0.8894 rob=0.8903
mnist_tobler_s80 eps=0.6: acc=0.9837 vra=0.8704 rob=0.8710
mnist_tobler_s80 eps=0.65: acc=0.9837 vra=0.8493 rob=0.8496
mnist_tobler_s80 eps=0.7: acc=0.9837 vra=0.8262 rob=0.8263
mnist_tobler_s80 eps=0.8: acc=0.9837 vra=0.7668 rob=0.7669
mnist_tobler_s80 eps=1.0: acc=0.9837 vra=0.6027 rob=0.6027
mnist_tobler_s90 eps=0.1: acc=0.9833 vra=0.9762 rob=0.9871
mnist_tobler_s90 eps=0.2: acc=0.9833 vra=0.9656 rob=0.9719
mnist_tobler_s90 eps=0.25: acc=0.9833 vra=0.9600 rob=0.9650
mnist_tobler_s90 eps=0.3: acc=0.9833 vra=0.9520 rob=0.9560
mnist_tobler_s90 eps=0.35: acc=0.9833 vra=0.9441 rob=0.9471
mnist_tobler_s90 eps=0.4: acc=0.9833 vra=0.9336 rob=0.9357
mnist_tobler_s90 eps=0.45: acc=0.9833 vra=0.9230 rob=0.9244
mnist_tobler_s90 eps=0.475: acc=0.9833 vra=0.9162 rob=0.9175
mnist_tobler_s90 eps=0.5: acc=0.9833 vra=0.9091 rob=0.9104
mnist_tobler_s90 eps=0.525: acc=0.9833 vra=0.9008 rob=0.9019
mnist_tobler_s90 eps=0.55: acc=0.9833 vra=0.8920 rob=0.8928
mnist_tobler_s90 eps=0.6: acc=0.9833 vra=0.8710 rob=0.8716
mnist_tobler_s90 eps=0.65: acc=0.9833 vra=0.8514 rob=0.8518
mnist_tobler_s90 eps=0.7: acc=0.9833 vra=0.8282 rob=0.8285
mnist_tobler_s90 eps=0.8: acc=0.9833 vra=0.7717 rob=0.7717
mnist_tobler_s90 eps=1.0: acc=0.9833 vra=0.6066 rob=0.6066
